Data,Quantidade apostas,Resultado banca,Invest,Retorno
2023-09-25,2,-1.12,34.71,-12.96
2023-09-26,1,0.8099,11.57,9.37
2023-09-27,1,1.5799,23.14,18.28
2023-09-28,1,1.0499,11.57,12.14
2023-09-29,1,-1.0,11.57,-11.57
2023-09-30,1,-1.0,11.57,-11.57
2023-10-01,1,1.2199,23.14,14.11
2023-02-27,2,-3.0,30.0,-30.0
2023-02-28,1,1.04,10.0,10.4
2023-03-01,1,0.77,10.0,7.7
2023-03-03,1,0.53,10.0,5.3
2023-03-04,1,1.08,20.0,10.8
2023-06-27,1,1.04,21.76,11.31
2023-06-28,3,-1.8401,43.52,-20.02
2023-06-29,1,0.78,10.88,8.48
2023-06-30,5,0.2289,54.4,2.49
2023-07-01,2,2.1799,32.64,23.71
2023-11-29,2,2.69,35.88,32.17
2023-11-30,1,1.0,23.92,11.96
2023-12-02,1,1.5,35.88,17.94
2023-12-03,4,0.72,47.84,8.6
2023-03-28,1,0.0,10.0,0.0
2023-03-29,1,0.57,10.0,5.7
2023-03-30,1,0.7,10.0,7.0
2023-04-01,1,1.04,20.0,10.4
2023-04-02,1,0.92,10.0,9.2
2023-08-28,2,-0.401,57.85,-4.64
2023-08-29,1,0.5999,11.57,6.94
2023-08-30,1,-1.0,11.57,-11.57
2023-08-31,2,-0.48,23.14,-5.56
2023-09-01,1,1.2999,11.57,15.04
2023-09-02,1,1.01,11.57,11.68
2023-09-03,2,0.6199,34.71,7.17
2024-01-29,1,1.25,11.96,14.95
2024-01-30,1,1.0393,11.96,12.43
2024-01-31,1,0.99,11.96,11.84
2024-02-01,1,0.7994,11.96,9.56
2024-02-02,2,1.2692,23.92,15.18
2024-02-03,1,0.6096,11.96,7.29
2023-05-29,1,-2.0,21.76,-21.76
2023-05-30,1,-2.0,21.76,-21.76
2023-05-31,1,1.2999,21.76,14.14
2023-06-02,1,0.7199,10.88,7.83
2023-06-03,2,2.429,32.64,26.43
2023-10-30,1,-3.0,34.71,-34.71
2023-11-01,1,-2.0,23.14,-23.14
2023-11-02,4,2.3398,46.28,27.06
2023-11-03,1,1.1999,11.57,13.88
2023-11-04,1,1.0,23.14,11.57
2023-11-05,1,1.01,11.57,11.68
2023-07-31,1,1.0399,10.88,11.31
2023-08-02,1,0.0,10.88,0.0
2023-08-04,1,1.0799,10.88,11.75
2023-08-05,1,-2.0,21.76,-21.76
2023-08-06,2,0.04,21.76,0.43
2023-02-16,1,0.775,12.5,7.75
2023-02-17,1,1.2875,12.5,12.87
2023-02-18,1,1.325,25.0,13.25
2023-02-19,1,1.25,25.0,12.5
2024-01-01,3,1.1187,83.72,13.38
2024-01-02,1,1.0493,11.96,12.55
2024-01-03,1,-2.0,23.92,-23.92
2024-01-05,1,1.04,11.96,12.43
2024-01-06,3,0.01,47.84,0.11
2024-01-07,4,-2.1204,47.84,-25.36
2023-05-02,2,0.08,20.0,0.8
2023-05-03,1,-1.0,10.0,-10.0
2023-05-04,1,1.3,10.0,13.0
2023-05-07,1,1.04,20.0,10.4
2023-10-02,1,-1.0,11.57,-11.57
2023-10-03,1,-1.0,11.57,-11.57
2023-10-04,1,0.7399,11.57,8.56
2023-10-05,1,-1.0,11.57,-11.57
2023-10-06,2,-0.2403,23.14,-2.78
2023-10-07,1,0.4995,11.57,5.78
2023-10-08,3,2.2883,46.28,26.48
2024-03-04,2,-2.0,28.52,-28.52
2024-03-06,1,1.0,28.52,14.26
2024-03-08,1,0.68,14.26,9.69
2024-03-09,1,-2.0,28.52,-28.52
2023-09-04,1,0.56,11.57,6.47
2023-09-09,1,0.54,11.57,6.24
2024-02-06,1,-1.0,11.96,-11.96
2024-02-07,3,2.959,35.88,35.39
2024-02-08,1,1.4599,11.96,17.46
2024-02-10,1,1.2793,23.92,15.3
2023-06-05,1,0.5,10.88,5.44
2023-06-06,1,-1.0,10.88,-10.88
2023-06-07,2,-1.0,32.64,-10.88
2023-06-08,1,0.53,10.88,5.76
2023-06-09,1,1.0099,10.88,10.98
2023-06-10,1,0.0,10.88,0.0
2023-03-06,1,0.86,10.0,8.6
2023-03-07,1,0.73,10.0,7.3
2023-03-08,1,1.53,30.0,15.3
2023-03-09,1,1.48,20.0,14.8
2023-03-10,1,1.56,30.0,15.6
2023-03-11,1,1.0,10.0,10.0
2023-03-12,1,1.04,20.0,10.4
2023-08-09,1,0.8795,10.88,9.57
2023-08-10,1,1.1093,10.88,12.07
2023-08-13,1,-1.9998,21.76,-21.76
2024-01-09,1,-1.0,11.96,-11.96
2024-01-10,1,1.0393,11.96,12.43
2024-01-11,1,-1.0,11.96,-11.96
2024-01-12,1,1.3495,11.96,16.14
2024-01-13,3,-3.9999,47.84,-47.84
2024-01-14,3,3.3545,35.88,40.12
2023-05-08,1,1.04,20.0,10.4
2023-05-10,3,-1.24,30.0,-12.4
2023-05-11,1,1.04,20.0,10.4
2023-05-12,1,1.0,20.0,10.0
2023-05-14,2,2.14,40.0,21.4
2023-04-10,1,-1.0,10.0,-10.0
2023-04-12,1,-1.0,10.0,-10.0
2023-04-13,1,0.55,20.0,5.5
2023-04-14,1,-1.0,10.0,-10.0
2023-04-15,1,-1.0,10.0,-10.0
2023-07-10,1,1.4999,10.88,16.32
2023-07-11,1,-1.0,10.88,-10.88
2023-07-12,1,-1.0,10.88,-10.88
2023-07-13,2,-0.2601,21.76,-2.83
2023-07-14,2,1.8095,21.76,19.68
2023-07-16,1,-1.0,10.88,-10.88
2023-12-11,1,-1.0,11.96,-11.96
2023-12-13,2,-2.2207,47.84,-26.56
2023-12-14,3,0.77,35.88,9.2
2023-12-15,1,-2.0,23.92,-23.92
2023-12-16,1,1.04,11.96,12.43
2023-12-17,1,-1.0,11.96,-11.96
2023-09-11,1,0.5695,11.57,6.59
2023-09-15,2,-2.9995,34.71,-34.71
2023-09-16,3,-0.8901,46.28,-10.3
2023-09-17,1,1.3792,23.14,15.96
2024-02-12,3,-3.0,35.88,-35.88
2024-02-13,2,-2.0,23.92,-23.92
2024-02-14,1,1.0199,23.42,12.19
2024-02-15,3,1.0393,47.84,12.43
2024-02-16,3,-1.0602,35.13,-12.68
2024-02-18,6,4.2792,71.76,51.18
2023-06-14,1,1.0192,21.76,11.09
2023-06-16,4,2.2581,65.28,24.57
2023-06-17,1,0.5294,10.88,5.76
2023-11-14,3,1.59,34.71,18.39
2023-11-16,2,2.18,23.14,25.22
2023-11-17,1,0.78,11.57,9.02
2023-11-18,2,-4.0,46.28,-46.28
2023-11-19,4,0.52,69.42,6.01
2023-03-13,1,1.16,20.0,11.6
2023-03-14,1,0.7,10.0,7.0
2023-03-15,1,1.14,20.0,11.4
2023-03-16,1,1.53,30.0,15.3
2023-03-17,2,-1.25,30.0,-12.5
2023-03-19,2,-2.0,20.0,-20.0
2023-08-14,1,0.8798,11.57,10.18
2023-08-15,1,0.5298,11.57,6.13
2023-08-16,1,-1.0,11.57,-11.57
2023-08-17,1,0.5496,11.57,6.36
2023-08-18,2,0.5199,34.71,6.01
2023-08-19,3,-0.56,46.28,-6.48
2023-08-20,1,1.16,11.57,13.42
2024-01-15,2,2.7291,23.92,32.64
2024-01-16,5,-1.9908,71.76,-23.81
2024-01-17,1,1.0,11.96,-11.96
2024-01-18,3,-0.1305,59.8,-1.56
2024-01-19,1,1.1798,23.92,14.11
2024-01-20,1,0.9699,11.96,11.6
2024-01-21,1,1.2993,23.92,15.54
2023-10-16,1,0.0,11.57,0.0
2023-10-19,1,1.2,23.14,13.88
2023-10-21,1,1.08,23.14,12.49
2023-04-19,1,0.0,10.0,0.0
2023-04-21,1,-2.0,20.0,-20.0
2023-04-22,1,-1.0,10.0,-10.0
2023-04-23,1,-1.0,10.0,-10.0
2023-07-17,2,1.6184,21.76,17.61
2023-07-18,1,0.5395,10.88,5.87
2023-07-19,1,-1.0,10.88,-10.88
2023-07-20,1,1.1497,10.88,12.51
2023-07-21,2,-2.0,21.76,-21.76
2023-07-22,5,3.0374,65.28,33.05
2023-07-23,3,1.6993,32.64,18.49
2023-12-18,1,1.11,11.96,13.27
2023-12-19,1,0.73,11.96,8.73
2023-12-23,2,-1.0,23.92,-11.96
2023-09-18,3,-0.4408,46.28,-5.1
2023-09-19,2,0.0096,23.14,0.11
2023-09-20,1,1.3593,23.14,15.73
2023-09-21,1,0.6395,11.57,7.4
2023-09-22,1,0.5393,11.57,6.24
2023-09-23,1,0.9394,11.57,10.87
2023-09-24,2,0.0796,34.71,0.92
2024-02-19,1,1.0192,28.52,14.54
2024-02-21,2,-1.9997,28.52,-28.52
2024-02-22,1,0.9189,14.26,13.11
2024-02-25,2,2.1784,42.78,31.08
2023-11-20,1,-2.9999,35.88,-35.88
2023-11-21,2,-0.9607,47.84,-11.49
2023-11-22,2,0.0393,23.92,0.47
2023-11-24,2,2.4189,47.84,28.93
2023-11-25,6,7.3384,95.68,87.77
2023-11-26,1,1.0393,11.96,12.43
2023-02-20,1,0.9625,12.5,19.25
2023-02-21,1,1.35,25.0,27.0
2023-02-23,1,1.35,25.0,27.0
2023-02-24,1,1.275,25.0,25.5
2023-02-25,1,1.35,25.0,27.0
2023-03-21,2,-0.7,40.0,-7.0
2023-03-23,1,-2.0,20.0,-20.0
2023-03-24,1,0.55,10.0,5.5
2023-03-25,1,0.0,20.0,0.0
2023-08-21,1,0.5194,11.57,6.01
2023-08-22,1,-1.0,11.57,-11.57
2023-08-23,1,1.0595,23.14,12.26
2023-08-24,2,-2.0,23.14,-23.14
2023-08-25,2,-1.0,23.14,-11.57
2023-08-26,1,1.2392,23.14,14.34
2023-08-27,1,-2.0,23.14,-23.14
2024-01-22,1,1.0,23.92,11.96
2024-01-23,3,0.0694,23.92,0.83
2024-01-26,1,0.9499,11.96,11.36
2024-01-27,3,2.1087,59.8,25.22
2024-01-28,1,-1.0,11.96,-11.96
2023-05-22,1,-1.0,10.88,-10.88
2023-05-25,1,0.6691,10.88,7.28
2023-05-26,1,0.8599,10.88,9.35
2023-05-28,1,0.0497,21.76,0.54
2023-10-24,2,0.2,34.71,2.31
2023-10-25,1,-2.0,23.14,-23.14
2023-10-26,2,7.0774,69.42,81.9
2023-10-27,3,-1.94,57.85,-22.45
2023-10-28,2,-3.0,34.71,-34.71
2023-10-29,6,2.0982,80.99,24.28
2023-04-25,1,1.35,30.0,13.5
2023-04-26,1,0.84,10.0,8.4
2023-04-30,1,-1.0,10.0,-10.0
2023-07-24,4,2.7488,54.4,29.91
2023-07-25,2,0.1498,21.76,1.63
2023-07-28,1,0.9099,10.88,9.9
2023-07-29,4,-0.6011,54.4,-6.54
2023-12-25,1,-1.0,11.96,-11.96
2023-12-26,4,0.179,47.84,2.14
2023-12-28,2,-0.1806,23.92,-2.16
2023-12-29,5,-1.1806,71.76,-14.12
2023-12-30,1,-2.0,23.92,-23.92
2023-12-31,1,1.0,23.92,11.96
